"Name","abv","year","PriceRetail","Appellation_Region_Name","Varietal_Name","Varietal_WineType_Name","Winemakers_Notes"
"Errazuriz Single Vineyard Cabernet Sauvignon 2009",14,2009,19.99,"South America","Cabernet Sauvignon","Red Wines","The Cabernet Sauvignon Single Vineyard is made from grapes hand-picked in Errazuriz' prestigious Don Maximiano Estate, located in the Aconcagua Valley, a semi-desert region where the hot summer days are cooled by afternoon breezes. The vines are planted on a 5 ° slope with gravely, sandy clay soils which drain very well. The high day-night temperature differences of the Don Maximiano Estate slows ripening and helps create intensity of flavors and concentration. It is difficult to find a better quality Sauvignon from anywhere in the world at this price point."
"Paul Hobbs Stagecoach Vineyard Napa Valley Cabernet Sauvignon 2006",14.9,2006,169,"California","Cabernet Sauvignon","Red Wines","Sourced from high atop the Eastern slopes of Napa Valley, this is a muscular, cabernet sauvignon with a dense, black garnet hue and big aromas of dark cherry, tobacco and mocha. Intensity and depth of flavor characterize a palate that seamlessly weaves assertive, concentrated flavors of cassis and black plum with clean earth that carries through the mid-palate and is joined by balanced acidity on the finish. Tannins are bold, ripe, chewy and well integrated. Alcohol 14.9%"
"Donkey and Goat The Recluse Broken Leg Vineyard Syrah 2009",14.1,2009,39.99,"California","Syrah/Shiraz","Red Wines","Charcuterie, white and black pepper, tobacco and leather seduce the senses immediately. Cherry, blackberry and blueberry all laced with floral hints and blood orange prepare the palate. An iron ferrous quality runs through with long and chewy tannins. The finish will linger with more notes of cured meats, smoke and mulberry. This Syrah illustrates why we love this varietal and will offer hours of enjoyment as she reveals her secrets (if you can wait that long). Blend: 97% Syrah and 3% Viognier"
"Herb Lamb HL Vineyards Cabernet Sauvignon 1999",14.4,1999,99,"California","Cabernet Sauvignon","Red Wines","The 1999 HL Cabernet Sauvignon has intense fruit characteristics typical of Napa Valley's hillside vineyards. I think this is the best vintage of this vineyard I've ever worked with, says winemaker Mike Trujillo. The most exciting thing for me is that these 1999 wines are built to go the long run. It is a classic vintage, not fat and overly ripe, but opulent and graceful and just keeps giving. The nose is cedary and spicy and full of vibrant, forward dark fruits. We used primarily new, tight-grained French Taransaud barrels with a small percentage of Nadalie for a sweet oak component. This wine shows lots of black fruit, black pepper, plum, ripe blueberry and spice character indicative of the hillside vineyard, with a suggestion of black licorice and bittersweet chocolate."
"Tenuta Trerose Vino Nobile di Montepulciano 2009",14,2009,18.99,"Italy","Sangiovese","Red Wines","Trerose Vino Nobile di Montepulciano is ruby red in color. The bouquet is rich and complex, with plum and blackberry aromas, mineral and tobacco notes. The flavor is full-bodied, elegant, great balance and lingering finish."
"Bodegas Castano Solanera 2007",14,2007,15.29,"Spain","Other Red Blends","Red Wines","Solenara is a special cuvee that includes fruit from Castano's oldest Monastrell blended with Cabernet Sauvignon and Garnacha Tintorera (Alicante Bouschet). It is aged in French oak for close to a year (only 20% of which is new) before being bottled without fining or filtration."
"Columbia Crest H3 Merlot 2008",14.5,2008,14.99,"Washington","Merlot","Red Wines","The H3 Merlot entices the nose with aromas of blueberry, cassis and hints of tobacco and spice aromas. The silky and sweet mid-palate introduces slight dusty, earthy, and rich berry notes which cumulate in the long and concentrated finish."
"I Greppi Bolgheri Superiore Greppicaia 2004",13.5,2004,55.99,"Italy","Bordeaux Red Blends","Red Wines","Greppicaia is the estate's flagship wine made predominantly from Merlot with the addition of Cabernet Sauvignon and Cabernet Franc, aged 18 months in French- and American-oak barriques. The wine is a deep intense red, brillant in color. very intense, elegant and fine aromas with notes of mature fruit and spices, complimented by a toastiness. This is a powerful, full bodied wine, but at the same time it is seductive and smooth. Flavors of berry fruit with abundant tannins, which follow through to a long Persistant finish accentEd by dried figs and notes of chocolate."
"Valley of the Moon Cabernet Sauvignon 2008",14.5,2008,20,"California","Cabernet Sauvignon","Red Wines","94% Cabernet Sauvignon, 6% Merlot. Forward black cherry and black currant fruit aromas are wrapped in notes of chocolate, cedar and hints Herbes de Provence. The concentrated black fruit, chocolate and savory flavors are accented by anise and black pepper that spice up the finish. These intense yet elegant flavors are supported by young, yet approachable tannins, and ample acidity, providing for a lengthy finish. The elegant and full-bodied flavors of this wine make it an ideal accompaniment to game, lamb, beef and pork dishes."
"Beringer Private Reserve Cabernet Sauvignon 2009",14.5,2009,129,"California","Cabernet Sauvignon","Red Wines","The 2009 Private Reserve Cabernet Sauvignon presents aromas of ripe blackberry, sweet pastry and espresso, accented by hints of lavender, cedar and graphite. The palate is concentrated and dense with flavors of dark fruit and spice notes. A rich texture and mouth-coating tannins linger in the elegant finish."
"Jaffurs Santa Barbara Syrah 2009",15.2,2009,27.99,"California","Syrah/Shiraz","Red Wines","The 2009 Santa Barbara County Syrah combines fruit from most of the vineyards Jaffurs works with. More than a sum of its parts, it is dark and rich. This year's vintage has a little Petite Sirah blended in to add power and complexity. It is a serious wine that is approachable in its youth. Sharing the same farming and winemaking techniques as our vineyard designated wines, it is a wine of great complexity and lower price. This is a powerfully flavored wine which works well with similarly flavorful food. Try dark sauces, even some with dark fruit. Makes a great reduction sauce. Try spiced or BBQ pork, lamb, or beef. Seared, spiced Ahi is a favorite, as is smoked salmon. Braised short ribs in Syrah reduction sauce!"
"Prunotto Bussia Barolo 2004",13.5,2004,95,"Italy","Nebbiolo","Red Wines","Garnet in color, this wine shows intense aromas of plums and ripe cherries, along with floral tones and spices. The wine is equally as intense on the palate with ripe tannins and a very long finish. Recommended with meat dishes, particularly wild game, and cheeses."
"Trinchero Cloud's Nest Vineyard Cabernet Sauvignon 2010",14.5,2010,67.99,"California","Cabernet Sauvignon","Red Wines","Above the fog line at 1,500 feet, this is an incredibly beautiful, yet stressed vineyard that produces trademark Mt Veeder characteristics. Black cherry, forest floor, cigar box and black tea aromas are matched with dark brambly black fruit and savory notes. This is an approachable, complex mountain cabernet with firm tannins and a lingering finish. This wine screams Bistecca Fiorentina that would be a good pairing!"
"Expression Willakia Pinot Noir 2006",14.1,2006,49.99,"Oregon","Pinot Noir","Red Wines","Willakia vineyard is located towards the northern end of the Eola-Amity Hills AVA, which is located within the Willamette Valley, home to many of Oregon's finest Pinot Noir vineyards. During the growing season, ocean breezes push through the Van Duzer Corridor in the Coastal Range maintaining a consistently cool climate that is the hallmark of all great Pinot Noir winegrowing regions. This climate, combined with the shallow, well-drained volcanic soils of the Nekia series that dominate this area, are the primary reasons the Eola-Amity Hills AVA is emerging as one of the world's most exciting winegrowing regions."
"Condado de Haza Ribera del Duero Tinto 2010",13.5,2010,27.99,"Spain","Tempranillo","Red Wines","Intense ruby-red color. Toasty, warm scents of plum, candied cherry and licorice, with a suggestion of roasted coffee aromas. Plush, round and almost sweet in its display of ripe cherry and strawberry fruit. Finishes with silky tannins, a repeating note of strawberry and very good length. Pair with lamb and suckling pig roasts, lamb chops cooked over vine cuttings, semi-cured goat cheeses, and oven-roasted fowl."
"Kenwood Artist Series Cabernet Sauvignon (1.5 Liter) 2006",14.5,2006,135,"California","Cabernet Sauvignon","Red Wines","This vintage of Kenwood Vineyards' Artist Series exhibits the complex and intense flavors for which the wine has become famous. The bouquet begins with fruity aromas of dried cherries, blueberries and cassis and is followed by spicy aromatic notes of sage and sassafras. The mouthfeel of the wine is full bodied with well-structured tannins, flavors of pomegranate and hints of vanilla. This wine is delicious now and should continue to improve for at least a decade. The 2006 Vintage marks the 32nd release of Artist Series Cabernet Sauvignon from Kenwood Vineyards. The 2006 growing season began with a wet and cool spring, followed by a warm and dry summer. In late September and early October, the weather cooled and we harvested the Cabernet Sauvignon that produced this year's Artist Series blend. After picking, the grapes were crushed and fermented in stainless steel tanks and then settled and racked twice before going down to barrels in December of 2006. After 28 months of barrel aging, the very best lots were carefully selected, blended and bottled. After bottling, the wine was aged for an additional year and a half before it was released. Each year since the 1975 vintage, our winemakers taste individual barrels of our finest lots of Cabernet Sauvignon at the end of aging and select only the best to become part of the Artist Series blend. The result is a true reserve wine that represents less than 2 percent of our Cabernet Sauvignon production. Blend: 78% Cabernet Sauvignon, 9% Malbec, 7% Cabernet Franc, 6% Petit Verdot About the Artist, Sylvia Ji Born in 1982, a native of San Francisco, Sylvia Ji's artistic ability is akin to another time and place. Her work encapsulates an alluring beauty that is both cutting edge and a nod to a time-honored technique. Hauntingly beautiful images brimming with provocation mix with a sense of consternation, hinting that all is not as well as it may initially appear."
"Purple Cowboy Trail Boss Cabernet Sauvignon 2010",13,2010,12.99,"California","Cabernet Sauvignon","Red Wines","Delicious aromas of ripe plum, cherry and cassis are accented with a hint of cola and vanilla. Perfection with thick grilled Cowboy steaks, hearty stews, and burgers."
"Tardieu-Laurent Chateaneuf du Pape Vielles Vignes 2010",14.5,2010,85,"France - Rhone","Rhone Red Blends","Red Wines","A wine with great potential. It is fine, elegant, yet powerful. Unfortunately the yields were tiny: quantities are very limited! Blend: 85% Grenache, 10% Mourvedre, 5% Syrah"
"Beringer Red Moscato 2011",9.5,2011,7.99,"South America","Other Red Blends","Red Wines","This innovative blend is the perfect harmony of Moscato, Zinfandel and Petite Sirah. It brings together the vivid aromas and flavors of the Moscato grape with the classic red berry characteristics of Zinfandel and ripe black cherry flavors of Petite Sirah."
"Wairau River Pinot Noir 2009",13.5,2009,20,"New Zealand","Pinot Noir","Red Wines","Violet in color, this estate Pinot Noir displays lifted aromas of ripe cherries and spice. The palate is soft and generous with delicate primary fruit characters of wild berries shadowed by subtle toasty oak. Fine ripe tannins provide weight and add structure resulting in a long and seamless finish. Savor over slow food and sparkling conversation."
"Rainier Ridge Red Blend 2012",12.5,2012,14.99,"Washington","Other Red Blends","Red Wines","Deep ruby red color leads to soft tannins with jammy fruit flavors that give way to a smooth plum and currant finish."
"Podere Salicutti Brunello di Montalcino Riserva 2004",14.5,2004,150,"Italy","Sangiovese","Red Wines","Piaggione offers an intense garnet color and a complex bouquet of fruit and floral notes. A solid tannic structure frames the palate with hints of coffee, tobacco and chocolate lingering on the finish. Concentrated, intense, and persistent. This is an artisanal Brunello, and an authentic gem from Montalcino."
"Chateau Pedesclaux  2009",13,2009,39.99,"France - Bordeaux","Bordeaux Red Blends","Red Wines","A beautiful deep purple color, aromatic nose with lovely ripe black fruit, a well-rounded palate with silky tannins and a nice smooth finish. Bottles that will give you complete satisfaction throughout your life."
"Penfolds Bin 128 Coonawarra Shiraz 1993",13.5,1993,25.99,"Australia","Syrah/Shiraz","Red Wines","The 1993 Bin 128 displays attractive, crimson-red hues and excellent depth of color. The nose is seductive and complex with rich spicy berry fruit, lifted by subtle ground pepper and violets. Soft, complementary French oak characters, although less overt than the fruit, support and enhance the nose. The palate has classic Coonawarra varietal and regional character. Medium bodied in style, the wine has instant appeal with exotic pepper and spice evident together with rich, ripe, berried fruit and soft, vanillin oak tannins in perfect harmony."
"Penfolds Bin 707 Cabernet Sauvignon 2004",13.5,2004,149,"Australia","Cabernet Sauvignon","Red Wines","Penfolds Bin 707 continues to reinforce its reputation as the international benchmark for Australian Cabernet Sauvignon. Made from a multi-district blend, it transcends the vagaries of vintage, achieving a consistent style and outstanding quality each year. The Bin 707 style has intense varietal definition combined with new American oak to produce wines of great richness, power, harmony and concentration. Penfolds Bin 707 draws fruit mainly from Coonawarra, Padthaway, Barossa Valley and select parcels from Penfolds' Bordertown Vineyard."
"Nickel & Nickel Harris Vineyard Merlot 2010",14.3,2010,53,"California","Merlot","Red Wines","Harris Vineyard is located in western Oakville, just east of the Branding Iron Vineyard. Nickel Nickel's five acres are comprised of two blocks that offer a southern exposure and soil of gravelly clay loam. Thinning passes allow each cluster to hang freely, optimizing the trellis system, and taking advantage of the warm climate to reach full maturity. The Harris Merlot is very consistent from vintage to vintage, and this wine is no exception. Beautiful berry and plum fruit integrate with flavors of sage, cigar, earth and dried herb. This vintage has an appealing dusty element and the oak adds a hint of char. The silky texture and round tannins carry these flavors through to a long, balanced finish."
"Kenwood Russian River Pinot Noir 2009",13.5,2009,17.99,"California","Pinot Noir","Red Wines","The 2009 growing season began with a dry spring followed by a temperate summer. The vintage had low yields but produced excellent grapes. The vines were harvested in September and early October, with ten percent of the harvest undergoing whole-berry fermentation in stainless steel tanks to preserve the fruity flavors of the grape. The wine was then aged in newer French oak barrels for 11 months. This vintage of our Pinot Noir serves up a delicious array of cherry and fresh fruit flavors, combined with spicy notes and smooth tannins that make for an exceptionally enjoyable wine. Flavorful aromas of fresh raspberries and cherries followed by subtle notes of vanilla and cola; excellent acid balance with smooth tannins and a lingering finish. This refreshing, fruity Pinot Noir is wonderfully versatile on the table and can be served with a wide range of foods, including pork, chicken, lamb and salmon."
"Lewis Cellars Cabernet Sauvignon 2007",15.9,2007,89,"California","Cabernet Sauvignon","Red Wines","The 2002 vintage of this wine was ranked #7 on the Wine Spectator's Top 10 Wines of 2005 The flagship of our Fall release wines from an exceptional vintage, our 2007 Cabernet is crafted from a collection of small hillside vineyards in Calistoga, Oak Knoll and Pritchard Hill. With precise handling and a high compression ratio this wine is tuned for the track. Packed with lavish oak, cloves, toffee and spicy blue-black fruits, the broad power band palate is matched with fine, grippy tannins bringing focus and length to this endurance racer. 2,000 cases produced."
"DAOU Vineyards Reserve Cabernet Sauvignon 2011",14.2,2011,57.99,"California","Cabernet Sauvignon","Red Wines","The Reserve Cabernet Sauvignon is our flagship wine and is com-posed primarily of grapes harvested from DAOU Mountain. Our winemaker, Daniel Daou, has a deep passion for this Bordeaux va-rietal and has made it his mission to make a Paso Robles Cab that will rival any in the world. A blue hue shades the side of the glass while the wine's tears lead you to a dark crimson core. The glass showcases scents of crushed boysenber-ries and black currants which is followed by hints of cedar box and to-bacco leaves. The wine's structure consists of benchmark Cabernet Sauvignon traits. Moderate acidity combines with firm but revealing tannins. When tasted the complexity of the dark fruit with the second-ary aromas provide a seamless balance. The French oak's spices of nut-meg, cloves and vanilla help add to the complexity and balance of this wine. The forward fruit allows this wine to be enjoyed today and the structure will allow it to be drunk over the next decade. Blend: 79% Cabernet Sauvignon, 7% Cabernet Franc, 5% Merlot, 9% Petit Verdot"
"Domaine de la Janasse Chateauneuf-du-Pape Vielles Vignes 2008",14.5,2008,125,"France - Rhone","Rhone Red Blends","Red Wines","Vineyards: Parcels from different soils throughout the appellation. The Grenache vines are 60-100+ years old. Blend: 70% Grenache, 30% Mourvedre with a small amount of other varieties."
"Pio Cesare Barolo Ornato 2009",14,2009,105,"Italy","Nebbiolo","Red Wines","The Pio Cesare Barolo Ornato 2009 displays the qualities of a very rich Barolo, dense, with supple tannins, full concentrated ripe fruit, elegant and powerful with an extremely long life. It is produced in small quantities and only in excellent vintages."
"Clos du Bois Briarcrest Cabernet Sauvignon 2006",14.5,2006,45,"California","Cabernet Sauvignon","Red Wines","The 2006 Briarcrest marries suave, complex structure with elegant fruit and stellar varietal appeal, making it as much a cellar selection as a natural fit for today's table. Inky ruby red in color, on the nose it pairs complex aromas of cassis, blackberry essence, licorice, and lavender with powerful notes of cedar and brown spice. On the palate, the wine delivers powerfully rich black fruit flavors and supple, structured tannins before a lengthy finish, which wraps up with velvety notes of dark chocolate, espresso, and toast. This intensely elegant, full-bodied Cabernet calls for rich meats like steak, lamb, and other robust fare."
"Cune Rioja Reserva 2009",13.6,2009,32.99,"Spain","Tempranillo","Red Wines","Intense ruby red, bright and deep in colour. Rich, deep aromas of bramble, redautumn fruit with a hint of balsamic and warm spices from fine oak. The palate isfine, complex and long, with balanced tannins and an excellent bright finish."
"Peter Michael Les Pavots (1.5 Liter Magnum) 2009",15,2009,419,"California","Bordeaux Red Blends","Red Wines","Deep ruby red with a crimson hue, 2009 Les Pavots reveals a profound, layered bouquet of coffee, cocoa bean, black currant, strawberry, cigar box, black and red cherry, plum liqueur combined with vanilla, blueberry, subtle notes of cedar, pepper and its signature 'garrigue' touch. The complexity and intense character continue into the finish with a refined mouthfeel, lasting impressions of fruits, spices, truffles and tobacco on the palate and round silky tannins. 2009 Les Pavots will benefit from two years of cellaring for near term enjoyment and will age gracefully for two decades. Blend: 66% Cabernet Sauvignon, 22% Cabernet Franc, 10% Merlot, 2% Petit Verdot"
"Tenuta dell'Ornellaia (1.5 Liter Magnum) 2008",15,2008,499,"Italy","Bordeaux Red Blends","Red Wines","The 2004 vintage of this wine was ranked #7 on the Wine Spectator's Top 10 Wines of 2007 Ornellaia 2008 represents one of the most classic expressions of the Bolgheri terroir. Fruit of a harvest that was low in quantity but high in concentration, its character reflects both the generous ripeness reached in the first ten days of September as well as the crisp, lively vibrancy encouraged by the cool, breezy days from mid-September through October. Its colour is remarkably intense and deep, while the nose offers stunningly rich, ripe fruit tones, alongside the classic balsamic and tobacco notes with hints of Mediterranean herbs. The palate exhibits immense depth, complex and dense, with tannins that are powerful, but fine-grained, velvety, and racy, giving Ornellaia 2008 a sensation of impressive solidity. A vintage with good aging potential."
"Frog's Leap Petite Sirah 2008",13.6,2008,35,"California","Petite Sirah","Red Wines","Our fourth vintage of this Napa heritage varietal has once again produced a wine with seductive blueberry aromas and an intense, dark indigo hue. Subtle layers of smoke and damp earth underscore the brightness of the blueberry, plum and cassis flavors. A hint of spice gives the wine that unexpected note of surprise. Provocative, with supple tannins and a long finish, this Petite remains bright on the palate. A perfect partner to your roasted lamb!"
"Louis Martini Sonoma Cabernet Sauvignon 2009",13.5,2009,15.99,"California","Cabernet Sauvignon","Red Wines","The 2009 Sonoma County Cabernet Sauvignon was crafted from several of Sonoma County's most prestigious appellations and blended seamlessly to bring together the unique characteristics of each vineyard, creating a superbly balanced Cabernet Sauvignon. Made to accentuate the high-toned, delightful fruits of Sonoma County's vineyards, this wine offers many layers, featuring aromas and flavors of red cherry, plum and blackberry fruit with an underlying dry creek dustiness. The round, full mouthfeel has just enough structure to lead it into a fruit focused finish."
"Jacob's Creek Reserve Cabernet Sauvignon 2009",13.9,2009,12.99,"Australia","Cabernet Sauvignon","Red Wines","The 2009 Coonawarra Reserve Cabernet Sauvignon is a deep crimson red with purple hues. Fresh blackcurrant and dark berry fruit aromas are apparent on the nose exuding typical Coonawarra characteristics. Hints of black olive and licorice are balanced with nuances of cedar and vanilla from fine grain French oak. The palate exudes generous ripe cassis flavours with tobacco leaf, supported by subtle integration of oak leading to a rich, smooth finish. An ideal accompaniment to osso bucco, beef rib roast or mature cheeses."
"Ridge Vineyards Santa Cruz Mountains Cabernet Sauvignon 1994",12.8,1994,79.99,"California","Cabernet Sauvignon","Red Wines","The aging has rounded the tannins, adding depth and appealing hints of cedar to the dark raspberry fruit. This is a lovely wine."
"Orin Swift Abstract 2009",15.7,2009,34.99,"California","Other Red Blends","Red Wines","#45 Wine Spectator Top 100 of 2011 Abstract is a blend of Grenache, Petite Sirah, and Syrah primarily from hillside vineyards in Sonoma County. The aromas are all berry and black fruits, with neatly integrated caramelized oak. A huge entry coats the mouth. The wine has tons of weight on the mid-palate and is dense with layers of ripe cherry and strawberries. The finish is laced with long soft tannins that go on and on. Abstract is inspired by the wines Dave Phinney has been drinking in the Pyrenees-Orientales over the past two years. In this mountainous outpost of France's Roussillon region, Dave started making wine at his own small winery. He wanted to make something from similar varietals (back here at home) that one can open and enjoy every day."
"Brassfield Eruption Red Blend 2011",14.5,2011,17.99,"California","Other Red Blends","Red Wines","The 2011 Eruption is rich and intense. The wine has aromas of dark berry, sandalwood and cocoa, giving way to flavors that are jammy, ripe and expressive. The palate is layered with supple and round tannins, making the wine both hedonistic while simultaneously elegant. The texture of this wine is perhaps its most distinguishing trait - mouth-coating with an endless finish. Be certain to have a second bottle on hand, the first won't last very long. Assuming you have to pair this wine with food, take advantage of the Zinfandel and Petite Sirah components which lend themselves especially well to tangy bbq pork spareribs or Penne all'Amatriciana with fresh tomatoes, capers, onions, pancetta and pecorino cheese. Blend: 39% Syrah, 27% Mourvedre, 10% Malbec, 8% Petite Sirah, 8% Tempranillo, 4% Zinfandel, 4% Grenache"
"Errazuriz Single Vineyard Carmenere 2009",14.5,2009,19.99,"South America","Carmenere","Red Wines","Deep purplish ruby-red in colour, our Carmenere Single Vineyard opens with aromas of sweet spice and chocolate that lead the way to black fruits that meld with the variety's characteristic black pepper notes. Exuberant and intense flavours reveal excellent typicity on the palate with a touch of roasted red pepper, soy sauce, cinnamon, and blackberries complemented by a touch of tobacco and pencil lead. The palate displays very sweet, soft, and ripe tannins with firm acidity that refreshes and guarantees a long life in the bottle."
"Vieux Chateau Mazerat  2011",13.5,2011,130,"France - Bordeaux","Bordeaux Red Blends","Red Wines","A blend of Merlot (80%) and Cabernet Franc (20%), the 2011 is sourced from 60-year-old vines and is limited production with vinification being reactive. The resulting wine is powerful, complex and persistent."
"Little Black Dress Pinot Noir 2010",13.9,2010,10.99,"California","Pinot Noir","Red Wines","Bright, ruby-red in color with aromas of cherries, cloves and light floral notes. A delicate, light-bodied wine with a lingering finish of strawberry jam and pomegranate. Little Black Dress Pinot Noir is an ideal match for chicken, veal and lamb dishes, as well as roasted beef and pork."
"Inman Family Olivet Grange Vineyard (OGV) Pinot Noir 2006",13.9,2006,56,"California","Pinot Noir","Red Wines","Olivet Grange Vineyard (OGV) is the Inman Family's organically farmed estate vineyard. This 10.45 acre vineyard is located at the junction of Olivet and Piner Roads amidst some of Sonoma County's and the Russian River Valley's most respected vineyards. Color: Bright garnet Aroma: Rose petal, cherry, raspberry, black tea, ginger, clove and star anise. Flavor: Red fruit dominates the flavor profile. Layers of sweet, ripe cherry, dried cranberry, rhubarb and raspberry fruits combine with clove and cinnamon spice. The wine is elegant, finessed and well balanced with OGV's signature long finish revealing iron and mineral along with strawberry and cherry and cocoa powder hints. The texture is like silk satin and wine is medium bodied and has fine tannins. This wine should continue to improve with careful cellaring until at least 2015."
"Hess 19 Block Cuvee Mt Veeder 2008",14.6,2008,36,"California","Bordeaux Red Blends","Red Wines","The 2008 19 Block Cuvee is Cabernet Sauvignon-based, layered with Malbec, Merlot and Syrah to produce a wine with pronounced fruit characteristics. Aromas of black cherry compote and ripe plum are accentuated with hints of vanilla and cardamom. A silky mouthfeel of cassis and milk chocolate leads into an immensely satisfying and lengthy finish. The layers of flavor in this wine pair well with complex foods, including braised or grilled meats like lamb, pork or duck; spring or sweet onions; earthy flavors such as mushrooms, eggplant and fennel; harder cheeses with salt crystals such as Bravo Farms Silver Mountain or Beecher's Flagship Reserve."
"Trefethen Cabernet Sauvignon 2007",14.3,2007,52.99,"California","Cabernet Sauvignon","Red Wines","Aromas of coffee and black cherry with hints of bay leaf carry through onto the palate lengthening the flavor profile. Firm tannins build alongside flavors of ripe plum fruit and walnut in this classic Napa Cabernet. Serve with beef, lamb and game dishes, especially those incorporating oregano, thyme, mushrooms and black pepper."
"Tenuta Sette Ponti Crognolo 2008",14,2008,36.99,"Italy","Other Red Blends","Red Wines","A deep ruby color with a bouquet reminiscent of ripe cherries and wild fruits, well-integrated spice and complexity. Harmonious to the palate, and vibrant shows depth and perfect tannic texture."
"Tilia Merlot 2010",13.5,2010,9.99,"South America","Merlot","Red Wines","The 2010 Tilia Merlot has a dark violet color with reddish tones. The nose is full of ripe plum and cherry aromas with light notes of chocolate and toast. The mouthfeel is soft and gentle with excellent texture, showing jammy red fruit flavors and finishing with supple tannins and vibrant acidity."
"Castello di Verrazzano Rosso 2010",12.5,2010,13.99,"Italy","Other Red Blends","Red Wines","Light ruby red. Complex and persistent aroma, with youthful notes of fresh fruit and violets. Light-bodied, harmonious and round on the palate, with flavors of red fruits, black currant and plum"
"SeaGlass Pinot Noir 2011",13.5,2011,11.99,"California","Pinot Noir","Red Wines","This Pinot Noir captures the best of Santa Barbara's unique terroir with a fresh, light-bodied profile that allows the grape's varietal character to shine through. An inviting, delicate perfume emerges from the glass, while bright red cherry and strawberry flavors lightly dance upon the palate. Beautifully balanced with vibrant acidity, it's the ideal complement for earthy mushrooms, grilled salmon or lamb."
"Domaine de la Vougeraie Nuits-Saint-Georges Premier Cru Les Damodes 2011",14,2011,99,"France - Other regions","Pinot Noir","Red Wines","An eye-catching deep ruby, with violet reflections. The first nose is complex, powerful, with mineral notes, developing into aromas that are at once both spicy and fruity, (cassis, blackberry). The mouth is typically Nuits', a very rich wine, enveloping literally all the palate. Black fruit, such as blackberries, dominates the aromas. One also notices the finesse and depth of the tannins. The finish is clean and very elegant. Match it now or in 4 or 5 years with a Barbary Duckling."
"Seghesio Cortina Zinfandel 2011",14.8,2011,39.99,"California","Zinfandel","Red Wines","Bright aromas of dark cherry and black raspberry, with upfront fruit appeal supported by underpinnings of complexity and a slight white pepper spice. The soft entry develops into a warm and full mid-palate with a finish that strikes and ideal balance of tannins, fruit and acidity."
"CARO  2007",14.5,2007,46.99,"South America","Bordeaux Red Blends","Red Wines","Reddish purple color. Intense nose of red and black ripe fruit, with notes of spice bread, liquorice and vanilla. Fleshy and complex on the palate; rounded and well-structured with nice, elegant tannins. Good length; a pleasant and, enjoyable wine. Drink now or keep for a few years"
"Gordon Brothers Cabernet Sauvignon 2009",13.8,2009,25.99,"Washington","Cabernet Sauvignon","Red Wines","This big, bold Cab practically leaps from the glass with enticing aromas of cassis, anise, hay, blackberry and dark chocolate along with a delicious smokiness. To the palate, the wine is firm and concentrated with robust flavors of leather, raspberry and chocolate. As air is introduced into the mouthful of wine, one experiences the headiness of a cigar box. The finish is long and smooth with a lingering hint of dried fig, tobacco and chocolate. Pair this wine with a sumptuous ribeye steak, maybe with a blue cheese and herb compound butter. Bring out your best dark chocolates for dessert! Blend: 96% Cabernet Sauvignon, 3% Merlot, 1% Syrah"
"Delas St. Esprit Cotes-du-Rhone Rouge 2008",13,2008,14.99,"France - Rhone","Rhone Red Blends","Red Wines","The Cuvee Saint-Esprit shows the strength and pepper taste typical of the Syrah grape. The color is deep garnet red and has intense red berry aromas. It is an exceptional full-bodied wine with fine tannins."
"Two Hands Ares Shiraz 2006",16,2006,219,"Australia","Syrah/Shiraz","Red Wines","Ares is black to the core. Attractive aromas of dark red and black fruits such as cherry, dried fig and Satsuma plum. The fruit characters are complemented by notes of spice, mocha, roasted coffee beans, dark chocolate and cedar. Ares represents the very best selection of Shiraz from Two Hands Wines. A statuesque, powerful and deeply flavured wine matured in 100% new French oak."
"Leonetti Sangiovese 2011",14.1,2011,85,"Washington","Sangiovese","Red Wines","Beautiful ruby color. Lovely nose of tart cherry, fresh crushed strawberries, lanolin and mixed spring florals. Its deeply satisfyingly rich palette somehow defies the vintage and is balanced by a deft streak of acid and ultra fine grained soft tannin. The harmonious flavors linger forever on the palate."
"Tapiz Alta Collection Malbec 2011",13.9,2011,19.99,"South America","Malbec","Red Wines","Intense red color with violet hues. Fresh red fruit and spicy floral aromas stand out, accompanied by vanilla and toasted almonds. The palate is fruity, balanced and with good volume. Its sweet tannins give a gentle and persistent finish."
"Pepper Bridge Winery Merlot 2008",14.1,2008,51.99,"Washington","Merlot","Red Wines","Inviting aromas of wildflowers growing along a dusty, gravely road mingle with bright notes of red cherries, raspberries, blackberries, and boysenberries. A rich, silky mouthfeel with a plush mid-palate delivers rounded flavors of mixed berries and hints of exotic spices, cedar and cola. The long persistent finish intertwines layers of sophisticated complexity, velvety tannins, and an appetizing level of acidity. Blend: 85% Merlot, 10% Cabernet Franc, and 5% Malbec"
"WALT La Brisa Pinot Noir 2010",14.5,2010,40,"California","Pinot Noir","Red Wines","The 2010 WALT La Brisa Sonoma County Pinot Noir articulates the signature characters of Sonoma: vibrant and opulent with an underlying brightness and length to the palate. Teeming with ripe red berries and spicy toasted aromas, the wine is lush and persistent on the mid-palate while long-lasting and delicate on the finish."
